timestamp,tier,cpu_count,total_memory_mb,model,complexity_level,batch_size,num_iterations,repeat_index,runtime_sec,peak_memory_mb,avg_cpu_pct
2026-07-04T15:12:27.742933,m5xlarge,4,15785.3,resnet18,1,8,419,0,75.2881,477.55,398.85
2026-07-04T15:13:43.120042,m5xlarge,4,15785.3,resnet18,1,8,419,1,75.3712,477.7,398.3
2026-07-04T15:14:54.671254,m5xlarge,4,15785.3,resnet18,1,8,419,2,71.5459,477.71,398.45
2026-07-04T15:16:26.232232,m5xlarge,4,15785.3,resnet18,2,16,261,0,91.532,554.88,398.51
2026-07-04T15:17:53.943275,m5xlarge,4,15785.3,resnet18,2,16,261,1,87.6648,554.92,399.23
2026-07-04T15:19:22.341622,m5xlarge,4,15785.3,resnet18,2,16,261,2,88.3686,554.92,399.07
2026-07-04T15:21:08.876697,m5xlarge,4,15785.3,resnet18,3,32,152,0,106.5189,670.39,394.36
2026-07-04T15:22:57.271550,m5xlarge,4,15785.3,resnet18,3,32,152,1,108.3494,683.95,394.09
2026-07-04T15:24:46.753002,m5xlarge,4,15785.3,resnet18,3,32,152,2,109.4509,665.93,393.65
2026-07-04T15:27:27.238782,m5xlarge,4,15785.3,resnet18,4,32,228,0,160.4645,677.65,394.22
2026-07-04T15:30:07.516078,m5xlarge,4,15785.3,resnet18,4,32,228,1,160.273,676.44,394.13
2026-07-04T15:33:00.458604,m5xlarge,4,15785.3,resnet18,4,32,228,2,172.9306,665.47,394.14
2026-07-04T15:36:36.892288,m5xlarge,4,15785.3,resnet18,5,64,123,0,216.3948,898.45,390.84
2026-07-04T15:39:57.908215,m5xlarge,4,15785.3,resnet18,5,64,123,1,201.003,900.09,390.25
2026-07-04T15:43:16.975516,m5xlarge,4,15785.3,resnet18,5,64,123,2,199.0155,946.69,389.71
2026-07-04T15:44:17.109894,m5xlarge,4,15785.3,resnet50,1,8,155,0,60.0823,662.0,397.93
2026-07-04T15:45:16.617562,m5xlarge,4,15785.3,resnet50,1,8,155,1,59.4642,662.0,399.01
2026-07-04T15:46:16.409913,m5xlarge,4,15785.3,resnet50,1,8,155,2,59.7452,662.02,399.25
2026-07-04T15:47:49.557747,m5xlarge,4,15785.3,resnet50,2,16,90,0,93.141,771.66,398.18
2026-07-04T15:49:23.344334,m5xlarge,4,15785.3,resnet50,2,16,90,1,93.7479,772.7,398.27
2026-07-04T15:50:56.722984,m5xlarge,4,15785.3,resnet50,2,16,90,2,93.3541,772.77,398.34
2026-07-04T15:52:56.624965,m5xlarge,4,15785.3,resnet50,3,32,49,0,119.8742,1061.4,390.26
2026-07-04T15:54:54.889067,m5xlarge,4,15785.3,resnet50,3,32,49,1,118.2439,1032.92,390.5
2026-07-04T15:56:53.618988,m5xlarge,4,15785.3,resnet50,3,32,49,2,118.7053,1078.59,390.0
2026-07-04T15:59:49.371713,m5xlarge,4,15785.3,resnet50,4,32,73,0,175.7478,1063.18,390.76
2026-07-04T16:02:54.287662,m5xlarge,4,15785.3,resnet50,4,32,73,1,184.8725,1065.46,390.6
2026-07-04T16:06:03.177590,m5xlarge,4,15785.3,resnet50,4,32,73,2,188.8772,1079.43,391.35
2026-07-04T16:09:46.480289,m5xlarge,4,15785.3,resnet50,5,64,40,0,223.2801,1324.0,382.99
2026-07-04T16:13:43.597138,m5xlarge,4,15785.3,resnet50,5,64,40,1,237.0802,1325.16,385.72
2026-07-04T16:17:41.378379,m5xlarge,4,15785.3,resnet50,5,64,40,2,237.7474,1325.2,385.39
2026-07-04T16:19:08.182476,m5xlarge,4,15785.3,mobilenet,1,16,340,0,86.7966,815.55,392.85
2026-07-04T16:20:35.034015,m5xlarge,4,15785.3,mobilenet,1,16,340,1,86.8214,815.56,392.37
2026-07-04T16:22:01.858753,m5xlarge,4,15785.3,mobilenet,1,16,340,2,86.7889,815.56,392.37
2026-07-04T16:23:51.406723,m5xlarge,4,15785.3,mobilenet,2,32,125,0,109.4945,999.71,390.03
2026-07-04T16:25:36.716040,m5xlarge,4,15785.3,mobilenet,2,32,125,1,105.2891,996.49,390.56
2026-07-04T16:27:20.733331,m5xlarge,4,15785.3,mobilenet,2,32,125,2,104.0039,996.73,390.15
2026-07-04T16:29:33.037486,m5xlarge,4,15785.3,mobilenet,3,64,73,0,132.2802,1415.58,380.3
2026-07-04T16:31:45.442733,m5xlarge,4,15785.3,mobilenet,3,64,73,1,132.3773,1416.86,380.39
2026-07-04T16:34:09.339124,m5xlarge,4,15785.3,mobilenet,3,64,73,2,143.8798,1416.44,380.86
2026-07-04T16:37:37.183264,m5xlarge,4,15785.3,mobilenet,4,64,109,0,207.793,1414.65,380.6
2026-07-04T16:41:04.927673,m5xlarge,4,15785.3,mobilenet,4,64,109,1,207.7343,1416.84,381.02
2026-07-04T16:44:25.624860,m5xlarge,4,15785.3,mobilenet,4,64,109,2,200.6537,1416.95,380.53
2026-07-04T16:48:34.803347,m5xlarge,4,15785.3,mobilenet,5,128,58,0,249.1715,2167.76,376.64
2026-07-04T16:52:43.792756,m5xlarge,4,15785.3,mobilenet,5,128,58,1,248.9822,2169.03,376.3
2026-07-04T16:56:54.004758,m5xlarge,4,15785.3,mobilenet,5,128,58,2,250.1652,2168.99,375.78
2026-07-04T16:57:53.475724,m5xlarge,4,15785.3,distilbert,1,8,927,0,59.4571,945.2,342.0
2026-07-04T16:58:44.047197,m5xlarge,4,15785.3,distilbert,1,8,927,1,50.5362,945.23,399.48
2026-07-04T16:59:33.861098,m5xlarge,4,15785.3,distilbert,1,8,927,2,49.8041,945.26,399.51
2026-07-04T17:00:37.386893,m5xlarge,4,15785.3,distilbert,2,16,731,0,63.5082,946.7,399.56
2026-07-04T17:01:40.047078,m5xlarge,4,15785.3,distilbert,2,16,731,1,62.644,946.72,399.57
2026-07-04T17:03:00.477365,m5xlarge,4,15785.3,distilbert,2,16,731,2,80.4018,946.77,399.47
2026-07-04T17:04:31.231707,m5xlarge,4,15785.3,distilbert,3,32,488,0,90.7415,947.48,399.67
2026-07-04T17:05:55.904923,m5xlarge,4,15785.3,distilbert,3,32,488,1,84.6255,947.54,399.65
2026-07-04T17:07:14.253552,m5xlarge,4,15785.3,distilbert,3,32,488,2,78.3366,947.56,399.47
2026-07-04T17:09:06.405757,m5xlarge,4,15785.3,distilbert,4,32,732,0,112.1202,947.63,399.73
2026-07-04T17:11:00.117202,m5xlarge,4,15785.3,distilbert,4,32,732,1,113.6785,947.67,402.11
2026-07-04T17:12:52.126525,m5xlarge,4,15785.3,distilbert,4,32,732,2,111.9789,947.71,399.56
2026-07-04T17:15:14.599790,m5xlarge,4,15785.3,distilbert,5,64,502,0,142.4321,947.89,399.59
2026-07-04T17:17:37.453470,m5xlarge,4,15785.3,distilbert,5,64,502,1,142.8433,947.98,399.46
